Ma	Ma_L	Ma_U	pCO2	pCO2_L1?	pCO2_U1?	pCO2_L2?	pCO2_U2?
450	458.4	443.4	536.7136748	374.7532441	776.7160987	271.4559556	1141.194
452	455	450	370.8326097	267.9939387	506.0428044	200.0008572	674.9023271
455	459	446	372.3418498	269.69966	507.2836438	201.723404	673.4199173
455	459	446	391.1238833	281.3021382	538.4169583	209.7069452	728.3125037
455	459	446	370.2530443	267.6311026	507.5906283	200.6073406	674.3571575
455	459	446	326.8086085	239.0977935	441.2286712	180.9055122	577.5480002
455	459	446	357.0592833	258.5507249	484.3733081	194.6010959	641.2847079
455	459	446	316.8337099	231.902531	426.7245029	175.8533389	550.843167
455	459	446	359.4605287	260.4017656	488.97425	195.307612	646.7233897
455	459	446	364.1688878	263.5987452	493.738169	198.211607	657.0299558
