Age	CO2	CO2do	CO2up	Study	
#DelaVega data includes Martinez-Boti et al. 2015 data recalculated. G. ruber					
3.9	276.00	234.00	322.00	Chalk2017.LP	
4.6	264.00	227.00	305.00	Chalk2017.LP	
5	284.00	242.00	332.00	Chalk2017.LP	
7.8	258.00	219.00	303.00	Chalk2017.LP	
7.8	270.00	226.00	320.00	Chalk2017.LP	
9.5	268.00	227.00	314.00	Chalk2017.LP	
10.3	240.00	198.00	288.00	Chalk2017.LP	
11.7	258.00	217.00	305.00	Chalk2017.LP	
14	234.00	197.00	276.00	Chalk2017.LP	
15.1	230.00	194.00	271.00	Chalk2017.LP	
15.1	218.00	181.00	258.00	Chalk2017.LP	
17.3	222.00	188.00	260.00	Chalk2017.LP	
19.2	161.00	130.00	195.00	Chalk2017.LP	
21.1	199.00	167.00	233.00	Chalk2017.LP	
22.6	202.00	169.00	238.00	Chalk2017.LP	
24.4	180.00	149.00	212.00	Chalk2017.LP	
25.5	171.00	138.00	208.00	Chalk2017.LP	
25.5	166.00	137.00	198.00	Chalk2017.LP	
35.8	213.00	178.00	251.00	Chalk2017.LP	
46.6	208.00	174.00	245.00	Chalk2017.LP	
52.1	198.00	164.00	236.00	Chalk2017.LP	
61.3	198.00	161.00	243.00	Chalk2017.LP	
77.3	237.00	199.00	282.00	Chalk2017.LP	
84.3	238.00	195.00	288.00	Chalk2017.LP	
89.1	264.00	223.00	313.00	Chalk2017.LP	
100.4	275.00	228.00	328.00	Chalk2017.LP	
106.1	252.00	210.00	300.00	Chalk2017.LP	
111.3	283.00	244.00	326.00	Chalk2017.LP	
116.8	312.00	254.00	381.00	Chalk2017.LP	
118.8	329.00	269.00	403.00	Chalk2017.LP	
119.1	304.00	262.00	351.00	Chalk2017.LP	
121.8	341.00	287.00	400.00	Chalk2017.LP	
123.8	267.00	224.00	315.00	Chalk2017.LP	
124.4	284.00	245.00	325.00	Chalk2017.LP	
127.5	273.00	236.00	314.00	Chalk2017.LP	
130.9	282.00	231.00	345.00	Chalk2017.LP	
131.9	247.00	210.00	285.00	Chalk2017.LP	
133.2	235.00	202.00	272.00	Chalk2017.LP	
134	207.00	174.00	241.00	Chalk2017.LP	
135.6	207.00	175.00	241.00	Chalk2017.LP	
139	206.00	174.00	240.00	Chalk2017.LP	
146.7	214.00	181.00	249.00	Chalk2017.LP	
150	206.00	174.00	240.00	Chalk2017.LP	
169.8	206.00	173.00	240.00	Chalk2017.LP	
179.9	204.00	173.00	238.00	Chalk2017.LP	
184.4	213.00	180.00	248.00	Chalk2017.LP	
190	223.00	190.00	258.00	Chalk2017.LP	
191.7	224.00	190.00	260.00	Chalk2017.LP	
198.1	250.00	214.00	287.00	Chalk2017.LP	
211.6	280.00	240.00	322.00	Chalk2017.LP	
220.4	261.00	226.00	301.00	Chalk2017.LP	
223.7	260.00	222.00	301.00	Chalk2017.LP	
227.1	233.00	199.00	270.00	Chalk2017.LP	
235.8	264.00	225.00	305.00	Chalk2017.LP	
239.5	243.00	208.00	281.00	Chalk2017.LP	
242.9	279.00	240.00	321.00	Chalk2017.LP	
247.2	262.00	227.00	302.00	Chalk2017.LP	
250.1	223.00	190.00	258.00	Chalk2017.LP	
257.8	232.00	199.00	269.00	Chalk2017.LP	
#Hoenisch et al 2009 data with assumed 25 ppm uncertainty T. sacculifer					
3.6	283.40	258.40	308.40	Hoenisch2009	
14.6	253.90	228.90	278.90	Hoenisch2009	
20.4	183.40	158.40	208.40	Hoenisch2009	
40.8	218.40	193.40	243.40	Hoenisch2009	
70.6	246.30	221.30	271.30	Hoenisch2009	
113.6	267.30	242.30	292.30	Hoenisch2009	
123.2	317.80	292.80	342.80	Hoenisch2009	
128.1	279.30	254.30	304.30	Hoenisch2009	
136.8	194.90	169.90	219.90	Hoenisch2009	
138.6	175.20	150.20	200.20	Hoenisch2009	
329.1	294.80	269.80	319.80	Hoenisch2009	
358.5	201.90	176.90	226.90	Hoenisch2009	
366.9	214.10	189.10	239.10	Hoenisch2009	
386.4	242.30	217.30	267.30	Hoenisch2009	
409.1	297.50	272.50	322.50	Hoenisch2009	
418.8	271.10	246.10	296.10	Hoenisch2009	
541.6	234.80	209.80	259.80	Hoenisch2009	
616.3	244.90	219.90	269.90	Hoenisch2009	
651	166.90	141.90	191.90	Hoenisch2009	
662.1	189.40	164.40	214.40	Hoenisch2009	
675	211.00	186.00	236.00	Hoenisch2009	
702.2	250.40	225.40	275.40	Hoenisch2009	
703.5	260.20	235.20	285.20	Hoenisch2009	
731	219.30	194.30	244.30	Hoenisch2009	
752.4	201.40	176.40	226.40	Hoenisch2009	
891.9	195.30	170.30	220.30	Hoenisch2009	
950	281.90	256.90	306.90	Hoenisch2009	
952.8	308.60	283.60	333.60	Hoenisch2009	
1072.8	295.30	270.30	320.30	Hoenisch2009	
1078.9	257.30	232.30	282.30	Hoenisch2009	
1168.3	264.50	239.50	289.50	Hoenisch2009	
1192.4	209.00	184.00	234.00	Hoenisch2009	
1212.5	221.30	196.30	246.30	Hoenisch2009	
1233.3	243.60	218.60	268.60	Hoenisch2009	
1238.7	270.40	245.40	295.40	Hoenisch2009	
1253	200.60	175.60	225.60	Hoenisch2009	
1261.7	237.70	212.70	262.70	Hoenisch2009	
1353.3	283.80	258.80	308.80	Hoenisch2009	
1412.7	218.40	193.40	243.40	Hoenisch2009	
1499.2	266.40	241.40	291.40	Hoenisch2009	
1578.9	214.80	189.80	239.80	Hoenisch2009	
1653	214.30	189.30	239.30	Hoenisch2009	
1666.8	218.10	193.10	243.10	Hoenisch2009	
1673.7	271.40	246.40	296.40	Hoenisch2009	
1854.2	267.50	242.50	292.50	Hoenisch2009	
1863.8	208.30	183.30	233.30	Hoenisch2009	
1931.8	296.70	271.70	321.70	Hoenisch2009	
1948.2	190.90	165.90	215.90	Hoenisch2009	
1955.8	183.70	158.70	208.70	Hoenisch2009	
1979.3	286.40	261.40	311.40	Hoenisch2009	
2019.7	280.00	255.00	305.00	Hoenisch2009	
2048.2	238.20	213.20	263.20	Hoenisch2009	
#Raitzsch et al. 2018 - bulloides					
5.6	244.00	192.00	296.00	Raitzsch2018	
12	199.00	127.00	271.00	Raitzsch2018	
18	184.00	147.00	221.00	Raitzsch2018	
26	210.00	139.00	281.00	Raitzsch2018	
119	257.00	194.00	320.00	Raitzsch2018	
131.5	196.00	133.00	259.00	Raitzsch2018	
146	198.00	139.00	257.00	Raitzsch2018	
194	207.00	140.00	274.00	Raitzsch2018	
216	198.00	146.00	250.00	Raitzsch2018	
238	273.00	211.00	335.00	Raitzsch2018	
261	193.00	136.00	250.00	Raitzsch2018	
287	259.00	180.00	338.00	Raitzsch2018	
299	296.00	232.00	360.00	Raitzsch2018	
#Dyez 2018 G.sacculifer					
1384.0	213.9	189.91	237.81	Dyez2018	
1392.7	282.2	242.36	322.07	Dyez2018	
1397.3	271.2	239.81	302.61	Dyez2018	
1402.0	320.2	275.78	364.65	Dyez2018	
1408.0	326.8	262.00	391.69	Dyez2018	
1414.0	260.5	229.71	291.23	Dyez2018	
1420.0	200.8	173.43	228.08	Dyez2018	
1425.2	234.2	206.18	262.32	Dyez2018	
1430.3	225.8	195.11	256.43	Dyez2018	
1435.5	241.9	200.62	283.12	Dyez2018	
