"age" "pmaxCO2" "lw95" "lw68" "up68" "up95"
36.00166 537.588135449392 286.787284723172 430.705193713742 712.677401071939 847.628383181283
36.50166 556.424750101397 264.953398914833 419.230519943241 717.165543846116 865.404720388686
37.00166 554.074868109981 225.602593949884 399.682152438445 717.955439240173 890.312973179
37.50166 552.612710690322 193.07314534427 386.021011387214 723.232383695657 899.869734148329
38.00166 556.031097562241 160.011715751019 372.86459347894 732.840059255833 919.352127711492
38.50166 553.786454583562 139.69536162762 363.609717776066 738.899659188161 942.151917893196
39.00166 553.691965003886 134.86072391558 363.894150847622 748.526729610191 953.399312907791
39.50166 554.021835773448 151.039916022889 368.290087195186 752.636739712738 961.033231716449
40.00166 555.092364600652 166.800568378976 383.445905263 761.864263035369 956.833868350597
40.50166 556.760924994084 199.545665996379 402.581980596367 773.330011788728 961.416139169838
41.00166 554.228916670469 220.972977260694 419.037956662342 783.162454659642 968.986316261945
41.50166 557.643095906084 253.655687559272 438.646798068485 799.527091468338 986.295404534311
42.00166 568.669480337274 290.306384812049 455.767827590099 815.028154361235 1001.60550460938
42.50166 580.002449754326 310.256640744197 474.360863918832 824.817030397782 1008.89478282565
43.00166 595.519844117566 337.802158624072 489.541215842812 834.152996713009 1012.33666673203
43.50166 621.496684810905 366.004421702084 507.533633088981 842.422658312748 1015.21441983931
44.00166 657.013215779198 406.156674305478 529.975056405488 853.52831175271 1006.82314310228
44.50166 667.309407494958 448.412415135764 548.788363599524 868.370288800506 1016.42712758675
45.00166 678.749154259039 475.135587999765 565.826829080235 879.62599132915 1036.12974277881
45.50166 723.332631083411 494.538917341939 580.493384376013 895.625772252472 1054.36555920129
46.00166 742.634622972218 507.06068794614 588.476981100834 908.92964172947 1070.3755321876
46.50166 755.690955335581 517.066607283502 603.50553031228 916.597678958252 1084.74596025439
47.00166 770.445579751402 521.715244319025 618.695797357089 930.204454625979 1084.42162731486
47.50166 797.346327845434 533.61033821361 646.503772875089 934.961544526464 1094.72299778486
48.00166 819.504455815723 543.235657335307 667.34676623397 950.093828723516 1100.94588107855
48.50166 833.023271584792 540.65051105795 686.849210683652 956.886432154697 1102.86015153682
49.00166 828.684562115323 547.619577498328 695.268085138453 968.701500938659 1109.67279591257
49.50166 838.694052621185 546.391190113365 697.250469737853 969.389808589555 1107.13390523041
50.00166 838.966506563683 545.000104157448 694.543168223919 965.238901350693 1097.93027357654
50.50166 829.084030529674 543.614533644317 691.30801088335 948.18576379396 1076.58327913753
51.00166 805.769005986708 541.785808745943 680.062072074937 924.23172690256 1051.35587758145
51.50166 784.21101896871 541.103695410024 665.750611255941 900.501138771117 1011.06847959648
52.00166 779.604256397327 539.971158623113 653.15777550115 875.952670210751 980.732045653619
52.50166 769.115972352674 538.859139071031 635.24904275425 858.817519359528 966.074703891295
53.00166 748.658090688477 528.44903391191 621.978517661071 842.188319588486 954.582435852525
53.50166 729.316639631924 521.255979404096 606.947063372547 821.829813820721 930.834749066727
54.00166 705.02859952206 518.604039449729 590.133639897076 791.017648999202 893.60477108473
54.50166 674.719984455192 504.421362052072 567.187677216577 758.119449930897 854.189301907766
55.00166 643.496058149703 483.940283549891 544.166362375611 724.475596347791 808.87633584973
55.50166 610.549321839101 460.165025018988 522.014758985017 692.891693810279 768.362616297341
56.00166 586.418462814571 438.399300653789 500.497741883677 666.463158479315 731.78205054709
56.50166 566.348641191821 416.549527517162 480.941321463287 641.328469753301 703.09376783625
57.00166 552.427928997368 400.795419115044 463.003028709133 617.567573571764 677.746832058102
