SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
BARTOLI	1.98E+00	2.06E-04	2.54E-04	2.83E-04	3.16E-04	3.82E-04
HONISCH	1.98E+00	1.89E-04	2.31E-04	2.58E-04	2.87E-04	3.50E-04
SOSDIAN	2.02E+00	2.78E-04	3.44E-04	3.86E-04	4.31E-04	5.32E-04
HONISCH	2.02E+00	1.86E-04	2.29E-04	2.55E-04	2.82E-04	3.44E-04
BARTOLI	2.03E+00	2.27E-04	2.82E-04	3.15E-04	3.52E-04	4.31E-04
HONISCH	2.04E+00	1.51E-04	1.86E-04	2.06E-04	2.29E-04	2.78E-04
HONISCH	2.05E+00	1.57E-04	1.91E-04	2.13E-04	2.36E-04	2.84E-04
BARTOLI	2.08E+00	2.09E-04	2.60E-04	2.90E-04	3.23E-04	3.93E-04
BARTOLI	2.16E+00	2.01E-04	2.48E-04	2.76E-04	3.06E-04	3.73E-04
BARTOLI	2.17E+00	2.76E-04	3.42E-04	3.85E-04	4.31E-04	5.35E-04
BARTOLI	2.20E+00	1.77E-04	2.17E-04	2.41E-04	2.68E-04	3.25E-04
BARTOLI	2.20E+00	2.49E-04	3.09E-04	3.44E-04	3.84E-04	4.74E-04
BARTOLI	2.20E+00	2.79E-04	3.50E-04	3.91E-04	4.38E-04	5.44E-04
SOSDIAN	2.21E+00	2.00E-04	2.47E-04	2.75E-04	3.05E-04	3.74E-04
BARTOLI	2.30E+00	1.98E-04	2.45E-04	2.73E-04	3.04E-04	3.71E-04
MB	2.34E+00	2.21E-04	2.74E-04	3.05E-04	3.39E-04	4.15E-04
MB	2.35E+00	2.20E-04	2.72E-04	3.03E-04	3.38E-04	4.16E-04
MB	2.35E+00	2.17E-04	2.69E-04	2.99E-04	3.32E-04	4.04E-04
MB	2.36E+00	2.89E-04	3.60E-04	4.04E-04	4.53E-04	5.73E-04
MB	2.37E+00	2.72E-04	3.40E-04	3.79E-04	4.24E-04	5.25E-04
MB	2.38E+00	2.50E-04	3.11E-04	3.48E-04	3.88E-04	4.77E-04
MB	2.39E+00	2.53E-04	3.12E-04	3.49E-04	3.90E-04	4.81E-04
MB	2.41E+00	2.00E-04	2.47E-04	2.75E-04	3.06E-04	3.73E-04
MB	2.42E+00	2.29E-04	2.84E-04	3.17E-04	3.53E-04	4.33E-04
MB	2.45E+00	2.23E-04	2.76E-04	3.08E-04	3.42E-04	4.19E-04
MB	2.47E+00	2.32E-04	2.90E-04	3.24E-04	3.61E-04	4.45E-04
MB	2.50E+00	2.41E-04	3.01E-04	3.36E-04	3.75E-04	4.64E-04
MB	2.50E+00	2.47E-04	3.05E-04	3.40E-04	3.80E-04	4.70E-04
BARTOLI	2.50E+00	2.53E-04	3.14E-04	3.51E-04	3.92E-04	4.84E-04
MB	2.52E+00	1.81E-04	2.23E-04	2.48E-04	2.75E-04	3.36E-04
MB	2.55E+00	2.30E-04	2.85E-04	3.17E-04	3.53E-04	4.33E-04
SOSDIAN	2.55E+00	1.86E-04	2.30E-04	2.56E-04	2.84E-04	3.45E-04
BARTOLI	2.56E+00	2.22E-04	2.73E-04	3.07E-04	3.42E-04	4.23E-04
MB	2.56E+00	2.13E-04	2.62E-04	2.93E-04	3.25E-04	3.96E-04
MB	2.58E+00	2.27E-04	2.81E-04	3.14E-04	3.49E-04	4.27E-04
MB	2.59E+00	2.45E-04	3.04E-04	3.41E-04	3.81E-04	4.67E-04
BARTOLI	2.60E+00	1.93E-04	2.38E-04	2.65E-04	2.94E-04	3.60E-04
MB	2.62E+00	1.99E-04	2.46E-04	2.73E-04	3.04E-04	3.72E-04
MB	2.62E+00	2.14E-04	2.64E-04	2.95E-04	3.28E-04	4.04E-04
MB	2.63E+00	1.81E-04	2.23E-04	2.49E-04	2.76E-04	3.34E-04
MB	2.65E+00	2.02E-04	2.48E-04	2.76E-04	3.08E-04	3.79E-04
MB	2.66E+00	2.13E-04	2.65E-04	2.94E-04	3.27E-04	3.98E-04
MB	2.67E+00	1.90E-04	2.35E-04	2.60E-04	2.90E-04	3.56E-04
MB	2.68E+00	2.22E-04	2.75E-04	3.07E-04	3.42E-04	4.17E-04
BARTOLI	2.69E+00	1.89E-04	2.36E-04	2.63E-04	2.94E-04	3.62E-04
MB	2.69E+00	2.00E-04	2.49E-04	2.77E-04	3.07E-04	3.77E-04
MB	2.70E+00	1.97E-04	2.42E-04	2.69E-04	2.99E-04	3.64E-04
MB	2.70E+00	1.72E-04	2.12E-04	2.36E-04	2.63E-04	3.22E-04
BARTOLI	2.70E+00	2.39E-04	2.97E-04	3.33E-04	3.71E-04	4.62E-04
MB	2.70E+00	2.19E-04	2.71E-04	3.02E-04	3.37E-04	4.12E-04
BARTOLI	2.71E+00	2.30E-04	2.88E-04	3.22E-04	3.59E-04	4.44E-04
MB	2.71E+00	1.89E-04	2.33E-04	2.59E-04	2.87E-04	3.50E-04
BARTOLI	2.71E+00	2.03E-04	2.52E-04	2.82E-04	3.14E-04	3.84E-04
BARTOLI	2.71E+00	2.33E-04	2.98E-04	3.40E-04	3.87E-04	4.98E-04
MB	2.75E+00	2.32E-04	2.87E-04	3.21E-04	3.58E-04	4.37E-04
MB	2.75E+00	2.22E-04	2.75E-04	3.07E-04	3.42E-04	4.19E-04
BARTOLI	2.75E+00	2.24E-04	2.81E-04	3.13E-04	3.49E-04	4.29E-04
MB	2.76E+00	2.40E-04	3.00E-04	3.36E-04	3.73E-04	4.60E-04
BARTOLI	2.77E+00	2.56E-04	3.22E-04	3.61E-04	4.05E-04	4.99E-04
MB	2.78E+00	2.00E-04	2.45E-04	2.73E-04	3.03E-04	3.69E-04
BARTOLI	2.78E+00	2.70E-04	3.36E-04	3.77E-04	4.21E-04	5.25E-04
BARTOLI	2.78E+00	2.38E-04	2.95E-04	3.30E-04	3.68E-04	4.55E-04
BARTOLI	2.78E+00	2.33E-04	2.91E-04	3.25E-04	3.63E-04	4.47E-04
BARTOLI	2.80E+00	2.32E-04	2.89E-04	3.23E-04	3.60E-04	4.46E-04
MB	2.80E+00	2.00E-04	2.47E-04	2.74E-04	3.06E-04	3.71E-04
MB	2.83E+00	2.20E-04	2.73E-04	3.05E-04	3.38E-04	4.12E-04
MB	2.83E+00	2.41E-04	3.00E-04	3.36E-04	3.78E-04	4.72E-04
MB	2.84E+00	2.55E-04	3.18E-04	3.55E-04	3.96E-04	4.89E-04
MB	2.85E+00	2.13E-04	2.64E-04	2.94E-04	3.27E-04	4.01E-04
