#using CO2 from Dana Dec2016						
Age	Age.er	CO2	do.er	up.er	er	method
220.8	8.832	382	191	764	286.5	psols
221.97	8.8788	2732.0667	1636	3828.1333	1096.0667	psols
222.27	8.8908	2324.9333	1412.8667	3237	912.0667	psols
222.35	8.894	3022.6667	1755.6667	4289.6667	1267	psols
223.17	8.9268	2627.3333	1596.2667	3658.4	1031.0667	psols
223.25	13.75	660	330	1320	495	psols
223.25	13.75	732	366	1464	549	psols
223.25	13.75	800	400	1600	600	psols
223.25	13.75	900	450	1800	675	psols
223.25	13.75	1140	570	2280	855	psols
224.33	8.9732	3042.0667	1805.1333	4279	1236.9333	psols
225.79	9.0316	2547.4667	1537.3333	3557.6	1010.1333	psols
226.17	9.0468	3302.4	1905.6667	4699.1333	1396.7333	psols
226.58	9.0632	3182.6	1874.6667	4490.5333	1307.9333	psols
227.09	9.0836	3568.1333	2054.8	5081.4667	1513.3333	psols
229.25	9.17	3319.7333	1935.6667	4703.8	1384.0667	psols
229.72	9.1888	2445.6	1504.5333	3386.6667	941.0667	psols
231.02	9.2408	2516.4	1541	3491.8	975.4	psols
231.42	9.2568	3230.8667	1899.7333	4562	1331.1333	psols
232.03	9.2812	2142.8	1335.4667	2950.1333	807.3333	psols
232.19	9.2876	2884.2	1723.8	4044.6	1160.4	psols
232.7	4.3	585	292.5	1170	438.75	psols
242.05	5.05	244	122	488	183	psols
242.05	5.05	284	142	568	213	psols
242.05	5.05	605	302.5	1210	453.75	psols
246.05	1.05	300	150	600	225	psols
246.05	1.05	580	290	1160	435	psols
253.2	1	883	441.5	1766	662.25	psols
253.2	1	1100	550	2200	825	psols
253.2	1	1325	662.5	2650	993.75	psols
259.4	0.4	400	200	800	300	psols
277.62	11.1048	1236.5836	788.4382	1684.7291	448.1455	psols
279.35	19.55	357.5	178.75	715	268.125	psols
281.1488	11.246	1248.3545	759.33	1737.4145	489.0423	psols
282.3761	11.295	899.4	565.83	1233	333.585	psols
283.358	11.3343	1099.8	679.4509	1520.1491	420.3491	psols
283.8489	11.354	1011.8018	604.2518	1419.3518	407.55	psols
284.4625	11.3785	823.9991	480.48	1167.5536	343.5368	psols
284.8307	11.3932	792.09	460.0582	1124.1218	332.0318	psols
284.9535	11.3981	792.09	460.0582	1124.1218	332.0318	psols
285.8126	11.4325	774.4336	464.7736	1084.0582	309.6423	psols
286.9171	11.4767	1448.9333	898.5333	1999.2667	550.3667	psols
287.0399	11.4816	1030	675.5	1396	360.25	psols
287.4081	11.4963	396.6136	248.8779	544.3229	147.7225	psols
289.8627	11.5945	620	102.05	770.35	334.15	psols
290.2072	11.6083	410.7529	95.8414	538.4057	221.2821	psols
290.419	11.6168	419.3333	130.6593	615.902	242.6213	psols
290.419	11.6168	1700	529.7	2496.9	983.6	psols
290.4719	11.6189	461.4286	143.7757	677.73	266.9771	psols
290.5249	11.621	600.1783	233.8267	966.4983	366.3358	psols
293.066	11.7226	208.2717	0	468.1283	234.0642	psols
297.8878	11.9155	288.4	0	877.9333	438.9667	psols
298.5832	11.9433	515.1333	0	995.8667	497.9333	psols
299.6861	11.9874	398.8	87.8	649.84	281.02	psols
299.882	11.9953	697.2	185.2667	1102.4667	458.6	psols
300.1759	12.007	882.48	282.4	1346.64	532.12	psols
302.95	4.05	250	125	500	187.5	psols
302.95	4.05	588	294	1176	441	psols
302.95	4.05	608	304	1216	456	psols
327.05	3.85	210	105	420	157.5	psols
327.05	3.85	290	145	580	217.5	psols
332.6	14.1	320	160	640	240	psols
344.75	2.25	824	412	1648	618	psols
344.85	1.85	524	262	1048	393	psols
365.55	6.65	395.2	197.6	790.4	296.4	psols
365.55	6.65	600	300	1200	450	psols
365.55	6.65	1140	570	2280	855	psols
365.55	6.65	1260	630	2520	945	psols
377.45	5.25	1120	560	2240	840	psols
385.2	2.5	1560	780	3120	1170	psols
388	5.3	624	312	1248	468	psols
402.55	5.05	1320	660	2640	990	psols
421.1	1.9	1440	720	2880	1080	psols
423.3	4.1	1680	840	3360	1260	psols
0.95	0.038	278	194.6	458.7	132.05	Stomata
1.85	0.074	280	196	462	133	Stomata
2.1	0.3	357.5	214.5	715	250.25	Stomata
2.6	0.104	285	199.5	470.25	135.375	Stomata
2.65	0.05	279	195.3	460.35	132.525	Stomata
2.775	0.225	276	165.6	552	193.2	Stomata
2.9	0.1	280	196	462	133	Stomata
3.095	0.505	357	333	376	21.5	Stomata
3.4	0.136	330	315	349	17	Stomata
3.89	0.29	355.2634	213.1581	710.5269	248.6844	Stomata
4	0.16	362.5	217.5	725	253.75	Stomata
4.6	0.184	270	162	540	189	Stomata
5.1	0.204	357.5	214.5	715	250.25	Stomata
7.2	0.288	270	162	540	189	Stomata
8.48	3.15	360	216	720	252	Stomata
8.5	0.34	350	210	700	245	Stomata
9.5	0.5	351	245.7	579.15	166.725	Stomata
10.5	0.42	370	222	740	259	Stomata
11.56	0.61	332.159	199.2954	664.318	232.5113	Stomata
11.96	0.33	468.2183	280.931	936.4366	327.7528	Stomata
12.795	10.205	434	339.7055	560.0714	110.183	Stomata
13.8	2.2	334	233.8	551.1	158.65	Stomata
13.885	0.385	287	261.8	301.1	19.65	Stomata
13.885	0.385	292.511	175.5066	585.022	204.7577	Stomata
15.15	1.5	339	318	558.6	120.3	Stomata
15.25	1.5	341	318.6	559.4	120.4	Stomata
15.3	1.5	313	308.1	479.8	85.85	Stomata
15.7	0.7	555	426.2	694.8	134.3	Stomata
15.7	0.7	552	415.5	693	138.75	Stomata
15.7	0.7	449	269.4	898	314.3	Stomata
15.79	0.23	564	414.2	701.4	143.6	Stomata
16.48	0.99	393.28	235.968	786.56	275.296	Stomata
16.5	1.5	535	402	704	151	Stomata
16.8	0.4	424.67	254.802	849.34	297.269	Stomata
16.95	0.55	393.282	235.9692	786.564	275.2974	Stomata
17.4	0.2	402	238	566	164	Stomata
