age	CO2 	CO2.1sig
27.0848	186.27	0.06
27.1702	194.93	0.48
27.2801	190.06	0.47
27.4419	191.95	0.84
27.5028	191.23	1.92
27.5497	191.53	1.94
27.5864	191.95	0.38
27.6613	191.46	0.69
27.687	192.71	0.08
27.7141	190.61	1.64
27.7186	189.30	0.32
27.8207	187.59	0.87
27.8664	190.58	0.49
27.885	189.28	0.12
27.9271	188.99	0.39
27.9732	189.29	0.31
28.0973	189.96	0.64
28.2141	191.82	0.28
28.2716	191.59	0.32
28.3697	192.63	1.67
28.4139	189.16	0.24
28.4269	189.65	0.56
28.5774	193.10	0.05
28.6264	192.82	0.16
28.7243	193.80	0.20
28.8419	193.89	0.34
28.9027	192.69	0.54
28.9486	193.26	0.73
29.0089	192.87	0.49
29.1507	192.26	0.17
29.2053	188.10	0.03
29.2496	192.39	0.97
29.3239	191.01	0.89
29.3661	189.83	0.30
29.4102	189.21	0.66
29.6092	189.24	0.04
29.6812	189.77	0.25
29.7428	191.28	0.27
29.8378	190.97	0.16
29.9521	191.38	1.23
29.999	191.57	0.22
30.1015	188.25	0.59
30.1817	188.48	0.62
30.2779	186.52	0.08
30.3127	185.99	0.60
30.4005	184.30	0.30
30.5288	182.94	0.43
30.713	187.14	0.20
30.7757	190.33	0.73
31.1052	188.00	0.06
31.3564	188.48	0.78
31.5241	189.95	0.36
31.7921	193.71	1.23
31.8184	192.93	1.13
31.9339	192.51	0.11
32.0269	193.33	0.43
32.0796	193.91	1.12
32.1475	196.42	0.49
32.1506	196.91	1.31
32.3079	192.47	1.94
32.3612	195.25	0.28
32.4348	194.11	0.53
32.5111	194.61	0.37
32.5946	194.43	0.41
32.6778	195.08	0.29
32.7141	195.94	0.26
32.8131	199.30	2.55
32.8809	196.70	0.80
33.009	196.33	0.46
33.1483	197.65	0.22
33.4175	196.90	0.54
33.4914	197.13	0.41
33.5553	197.80	0.27
33.7581	200.03	0.69
33.841	195.63	0.74
33.8857	195.27	0.45
33.9075	194.46	0.66
33.9259	194.47	0.03
33.957	196.47	0.45
33.9915	195.41	0.33
34.0642	195.93	1.02
34.1903	194.89	0.62
34.2508	195.79	0.76
34.3128	196.27	0.24
34.3344	196.20	0.32
34.5569	199.65	0.74
34.6026	199.49	0.64
34.62	200.29	0.43
34.6478	198.89	0.98
34.7106	197.16	1.20
34.8256	202.80	0.03
34.8668	203.09	0.48
35.0896	198.78	0.57
35.1658	203.60	0.36
35.2817	205.38	0.10
35.337	204.47	1.22
35.3594	203.62	0.87
35.383	201.36	0.26
35.4458	200.30	0.80
35.4971	201.06	1.01
35.5085	202.04	0.90
35.5307	201.89	0.65
35.568	201.83	0.99
35.6725	201.81	0.24
35.7016	200.50	0.63
35.8546	203.29	1.07
